paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP09498	PTETEGNP13076	0.447961	2.20269	0.292276	2.49259	3.17977	6.99325	3.51232	6.28205	3.68844	11.4588	2.68269	6.69665	4.41336	15.611	3.31467	13.7899	6.96604	15.6223	2.17687	13.3576	5.68656	14.2526	4.24009	7.98788	1.91071	6.12253
PTETEGNP09499	PTETEGNP13077	1.1374	0.560982	0.642949	0.217826	2.06182	0.365018	1.2124	0.910769	4.94963	1.33383	2.75102	1.32064	5.21309	2.0019	5.69259	1.97578	5.08819	3.12109	5.09248	1.00977	5.56433	1.84898	4.23915	1.12915	5.11043	0.641991
PTETEGNP09501	PTETEGNP13078	64.3752	45.1963	64.8254	50.4346	10.1538	9.32283	7.90964	6.51176	7.76638	11.7538	6.74229	11.3711	9.85168	9.87833	8.55091	14.7221	6.86494	7.27723	5.8717	13.2992	25.101	27.538	23.334	23.3998	2.48979	4.62314
PTETEGNP09503	PTETEGNP13080	2.23591	14.659	2.24249	12.9014	4.83681	15.717	3.89249	17.162	8.10261	19.9722	7.06728	19.0069	11.3365	17.7197	7.19163	15.9146	6.10718	16.7416	5.02988	11.0346	3.59832	16.8558	3.9484	15.5605	3.6461	8.95224
PTETEGNP09504	PTETEGNP13088	0.540778	0.508386	0.324416	0.697554	1.33662	2.15278	1.06283	1.2909	1.48654	2.52447	1.08073	1.99879	1.44464	3.17392	1.5247	2.96199	1.69621	5.69083	1.01607	3.32365	1.14326	3.11576	0.652663	2.83567	1.35554	4.41159
PTETEGNP09505	PTETEGNP13091	0.205294	3.72937	0.397217	3.49107	1.73174	7.83971	1.3626	10.096	2.00823	9.29379	1.44904	9.81959	1.72894	8.18085	1.22287	9.87023	2.56531	7.02477	1.80361	6.7439	2.65438	8.41333	2.37377	7.47214	2.71446	9.20346
PTETEGNP09506	PTETEGNP13092	1.8416	1.80984	1.60635	1.0961	1.90792	1.68716	1.41132	1.20068	2.9083	3.18862	2.4263	2.32305	2.48806	2.12867	2.48642	2.17562	2.58396	1.60557	2.79775	1.76596	3.06227	2.46076	1.74646	1.74646	2.24481	2.08113
PTETEGNP09507	PTETEGNP13093	41.8433	32.7037	29.4181	27.4618	13.95	15.6407	12.1514	14.7498	11.4367	14.9463	9.33379	15.1231	9.26097	9.13221	9.18591	12.4332	9.34479	7.24607	9.24392	11.0513	10.3024	14.5639	8.11014	12.4871	7.61863	12.7318
PTETEGNP09510	PTETEGNP13095	1.01955	2.19872	1.18391	1.58224	2.15557	2.43546	1.86322	1.77621	1.97421	2.87041	2.55833	2.99965	2.3938	2.82419	3.23737	2.70179	1.79986	2.518	1.28856	2.55254	2.88979	3.07086	3.3495	2.24372	2.46074	2.09621
PTETEGNP09511	PTETEGNP13096	1.49594	0.561835	1.53582	0.598007	2.83006	0.959942	2.82785	0.990633	3.14668	1.20713	3.70135	1.65039	4.56988	1.23346	4.82108	1.69611	4.86609	1.01676	5.59297	1.47935	5.57444	0.772176	6.15413	1.1716	6.18228	1.38577
